Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,3328700,-,-,-,21.21,81.38,0,307,5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Relative Humidity,Pressure,Wind Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,0,30,11,0,0,78.02,976,0.8,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,1,30,12.3,18,92,72.73,977,1.1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,2,30,15,93,418,63.65,977,1.6,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,3,30,18.1,139,593,52.79,977,1.7,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,4,30,21.3,168,685,43.59,977,1.5,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,5,30,23.7,188,726,36.08,976,1.2,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,6,30,24.8,212,705,32.27,975,1.1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,7,30,25.2,209,692,30.97,974,1.2,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,8,30,25,196,646,30.99,973,1.3,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,9,30,24.2,184,504,31.83,973,1.3,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,10,30,21.7,128,350,40.97,973,1.1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,11,30,18.4,38,113,61.86,973,1.2,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,12,30,16.3,0,0,61.48,974,1.4,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,13,30,15.3,0,0,63.35,974,1.5,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,14,30,14.5,0,0,65.88,975,1.5,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,15,30,13.9,0,0,68.26,975,1.4,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,16,30,13.4,0,0,70.3,975,1.3,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,17,30,13.1,0,0,70.84,975,1.2,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,18,30,12.8,0,0,70.88,975,1.1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,19,30,12.2,0,0,72.63,974,1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,20,30,11.5,0,0,75.34,974,1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,21,30,10.8,0,0,78.07,974,1.1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,22,30,10,0,0,81.14,974,1.2,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,23,30,9.6,0,0,81.91,974,1.2,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,0,30,9.1,0,0,83.24,976,1.3,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,1,30,10.4,11,30,76.44,977,1.9,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,2,30,12.9,114,223,64.48,978,2.2,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,3,30,16,198,375,54.65,978,2.2,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,4,30,19.5,250,474,43.92,978,2.6,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,5,30,22,279,529,36.43,977,2.7,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,6,30,23.2,333,448,34.16,975,2.4,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,7,30,23.6,324,439,34.22,974,2,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,8,30,23.5,293,397,35.2,974,1.6,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,9,30,22.8,231,340,37.41,974,1.3,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,10,30,20.7,144,221,47.31,974,1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,11,30,18,32,63,64.96,975,0.9,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,12,30,16.4,0,0,63.46,975,1.1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,13,30,15.6,0,0,65.41,976,1.1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
