Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,3328700,-,-,-,21.21,81.38,0,307,5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Relative Humidity,Pressure,Wind Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,0,30,7.9,0,0,62.86,983,1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,1,30,9.7,20,135,58.12,984,1.2,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,2,30,12.7,81,524,48.35,985,1.4,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,3,30,16,113,706,39.13,985,1.4,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,4,30,19.5,133,797,31.88,984,1.4,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,5,30,22.3,143,843,26.41,983,1.5,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,6,30,24.1,158,831,22.5,982,1.5,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,7,30,24.8,155,821,21.99,981,1.3,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,8,30,24.9,147,780,22.1,981,1.2,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,9,30,24.3,125,714,23.12,981,0.9,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,10,30,22.4,95,561,29.47,981,0.7,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,11,30,19.5,40,249,45.09,981,0.8,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,12,30,17.4,0,0,45.31,982,1.1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,13,30,16.1,0,0,48.47,982,1.2,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,14,30,14.9,0,0,51.65,982,1.3,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,15,30,14.3,0,0,53.04,981,1.3,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,16,30,14,0,0,52.89,981,1.3,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,17,30,13.8,0,0,52.06,981,1.2,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,18,30,13.7,0,0,51.19,981,1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,19,30,13.5,0,0,50.14,981,0.8,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,20,30,12.8,0,0,51.56,981,0.8,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,21,30,12,0,0,53.8,980,0.9,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,22,30,10.9,0,0,57.95,980,1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,23,30,10.3,0,0,60.88,980,1.1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,0,30,9.6,0,0,63.59,982,1.1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,1,30,11.3,20,135,59.16,983,1.2,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,2,30,14.4,81,522,52.43,984,1.3,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,3,30,17.9,114,701,41.12,984,1.5,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,4,30,21.6,134,792,32.59,984,1.6,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,5,30,24.3,145,834,26.53,983,1.2,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,6,30,25.9,148,853,23.35,982,0.7,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,7,30,26.6,148,841,22.34,981,0.5,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,8,30,26.7,139,799,22.16,980,0.5,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,9,30,26,139,665,23.1,980,0.5,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,10,30,23.9,102,515,29.54,981,0.6,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,11,30,20.7,41,220,46.33,981,0.9,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,12,30,18.2,0,0,47.77,981,1.2,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,13,30,16.6,0,0,52.74,981,1.3,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
